order,retention_index,quantmass,id,KEGG,PubChem,label
127,431950,248,227997,C00099,239,beta-alanine
128,464937,100,223933,C00802,67126,parabanic acid NIST
129,1124267,217,200576,"",16219508,inulotriose 1
130,601231,267,322210,C05582,1738,homovanillic and 4-hydroxymandelic acid - mixed spectrum
131,527101,246,227977,C00025,33032,glutamic acid
132,1018547,204,211957,C01235,439451,galactinol major 2
133,672508,332,211436,C00072,5785,ascorbic acid
134,580144,160,202931,C02522,93579,isorhamnose
135,670193,160,201840,C00333,445929,galacturonic acid
136,678170,333,225841,C00333,84740,galacturonic acid 2
137,584855,217,224035,"","",UDP-glucuronic acid
138,675911,318,203304,n/a,53714838,inositol allo-
139,698217,333,199232,n/a,193325,idonic acid NIST
140,655071,160,203596,C06467,99459,talose
141,483425,176,200533,C00073,6137,methionine
142,354236,117,204381,n/a,18302,2-deoxyerythritol
143,399036,188,200548,C00041,5950,alanine 3TMS
144,777489,290,348850,C05635,1826,5-hydroxy-3-indoleacetic acid
145,750645,117,200398,n/a,10465,methylhexadecanoic acid
146,359190,158,214141,C00407,6306,isoleucine
147,498738,247,296075,C00418,439230,mevalonic acid NIST
148,346072,158,232325,C00123,6106,leucine
149,286258,130,205663,C02721,5288725,N-methylalanine
150,239700,146,213261,C00183,1182,valine TMS1x
151,634543,285,199929,C06424,11005,myristic acid
152,993209,319,375098,n/a,3034828,palatinitol
153,633523,173,423485,C05422,835,dehydroascorbic acid
154,204284,117,225839,C03044,262,"butane-2,3-diol (NIST)"
155,478092,232,227949,C00049,5960,aspartic acid
156,645005,205,215860,C00159,18950,mannose
157,553791,116,199805,C00152,236,asparagine
158,364232,142,199611,C00148,145742,proline
159,600452,156,199776,C00064,5961,glutamine
160,451122,117,213517,C01571,2969,capric acid
161,755073,327,199219,D01924,8221,octadecanol
162,344674,314,199165,C00009,1004,phosphoric acid.1
163,227666,128,234665,C00571,7965,cyclohexylamine NIST
164,554941,261,404896,"","",3-ureidopropionate
165,480445,267,199200,C00805,338,salicylic acid
166,748490,219,268612,C01481,689043,caffeic acid
167,1075918,129,372926,C00187,5997,cholesterol
168,607609,204,228066,C00493,8742,shikimic acid
169,778858,339,199610,C00712,445639,oleic acid
170,855930,117,410997,C06425,10467,arachidic acid
171,547440,117,438076,C02679,3893,lauric acid
172,247379,98,221584,C08374,8182,dodecane
173,344223,205,199617,C00116,753,glycerol
174,508292,114,200672,C00065,5951,serine 4TMS
175,800522,259,267653,"","",X267653
176,532543,244,267675,"","",X267675
177,246354,147,204344,"","",X204344
178,968713,280,267687,"","",X267687
179,253612,245,269625,"","",X269625
180,222455,190,640860,"","",X640860
181,433467,189,647819,"","",X647819
182,546907,245,326500,"","",X326500
183,301113,216,268506,"","",X268506
184,892751,317,267923,"","",X267923
185,879891,156,267714,"","",X267714
186,856253,285,203765,"","",X203765
187,843904,217,321685,"","",X321685
188,927131,375,303152,"","",X303152
189,586608,211,616746,"","",X616746
190,769424,294,288966,"","",X288966
191,491201,307,645667,"","",X645667
192,786345,124,239312,"","",X239312
193,461754,249,636858,"","",X636858
194,850942,217,267816,"","",X267816
195,476354,160,631980,"","",X631980
196,717146,295,300661,"","",X300661
197,875513,136,300353,"","",X300353
198,576974,277,223625,"","",X223625
199,455812,259,368028,"","",X368028
200,1062950,202,267760,"","",X267760
201,752306,369,221505,"","",X221505
202,528317,215,200541,"","",X200541
203,485093,247,647447,"","",X647447
204,469208,157,644906,"","",X644906
205,397310,97,408731,"","",X408731
206,787242,218,267723,"","",X267723
207,680162,140,267926,"","",X267926
208,869153,202,267771,"","",X267771
209,678158,358,234636,"","",X234636
210,603388,217,231544,"","",X231544
211,455572,263,348900,"","",X348900
212,911896,259,288019,"","",X288019
213,907235,254,267674,"","",X267674
214,983865,297,268106,"","",X268106
215,1016766,277,267762,"","",X267762
216,611701,214,267737,"","",X267737
217,960434,375,267670,"","",X267670
218,959212,204,267647,"","",X267647
219,405975,306,225867,"","",X225867
220,514703,122,666613,"","",X666613
221,914459,246,369589,"","",X369589
222,781003,382,268103,"","",X268103
223,847097,180,267682,"","",X267682
224,562792,291,267652,"","",X267652
225,630481,292,227675,"","",X227675
226,324479,100,200421,"","",X200421
227,900960,409,267707,"","",X267707
228,423716,244,267851,"","",X267851
229,741114,319,200490,"","",X200490
230,585690,217,640528,"","",X640528
231,822126,375,303066,"","",X303066
232,567990,175,303060,"","",X303060
233,1021108,244,294799,"","",X294799
234,272140,234,267884,"","",X267884
235,834285,258,267650,"","",X267650
236,726446,174,218821,"","",X218821
237,922958,211,636875,"","",X636875
238,528166,231,636805,"","",X636805
239,725454,246,320562,"","",X320562
240,821846,174,267730,"","",X267730
241,810107,156,267692,"","",X267692
242,1055253,216,267673,"","",X267673
243,754107,193,267656,"","",X267656
244,689461,237,223618,"","",X223618
245,675072,160,636809,"","",X636809
246,752973,229,267774,"","",X267774
247,795288,156,267756,"","",X267756
248,790980,247,636908,"","",X636908
249,777372,325,484573,"","",X484573
250,611572,312,324627,"","",X324627
251,846150,156,267904,"","",X267904
252,854125,409,267782,"","",X267782
253,565644,174,642793,"","",X642793
254,1067152,375,268093,"","",X268093
255,827091,174,237946,"","",X237946
256,311694,231,300379,"","",X300379
257,831142,223,267695,"","",X267695
258,573513,166,348903,"","",X348903
259,607757,129,321693,"","",X321693
260,1122192,408,267785,"","",X267785
261,759767,323,267755,"","",X267755
262,737897,174,267751,"","",X267751
263,862531,204,229199,"","",X229199
264,833104,331,289055,"","",X289055
265,780524,398,267850,"","",X267850
266,632392,307,228911,"","",X228911
267,540152,245,205670,"","",X205670
268,415670,131,202095,"","",X202095
269,983627,223,636831,"","",X636831
270,673524,309,319935,"","",X319935
271,656278,298,300626,"","",X300626
272,720216,285,241141,"","",X241141
273,728008,316,238571,"","",X238571
274,560922,117,480050,"","",X480050
275,642423,297,294547,"","",X294547
276,632366,245,231796,"","",X231796
277,600185,292,216860,"","",X216860
278,1010535,204,199463,"","",X199463
279,1003462,292,267671,"","",X267671
280,977138,277,267666,"","",X267666
281,571404,140,267645,"","",X267645
282,597824,111,636846,"","",X636846
283,971988,375,267890,"","",X267890
284,523093,255,267715,"","",X267715
285,799637,276,267701,"","",X267701
286,974064,294,267686,"","",X267686
287,817340,204,233005,"","",X233005
288,742893,174,228249,"","",X228249
289,711189,214,636954,"","",X636954
290,554655,105,483228,"","",X483228
291,260364,102,367979,"","",X367979
292,305243,100,321716,"","",X321716
293,199054,102,308106,"","",X308106
294,560358,159,303163,"","",X303163
295,709604,258,294129,"","",X294129
296,1102114,375,268006,"","",X268006
297,1013197,202,267994,"","",X267994
298,1200427,316,201887,"","",X201887
299,516695,110,631981,"","",X631981
300,599375,103,629980,"","",X629980
301,758980,228,485443,"","",X485443
302,844853,331,312592,"","",X312592
303,477598,97,310046,"","",X310046
304,556356,245,280553,"","",X280553
305,930051,199,267972,"","",X267972
306,837429,217,267649,"","",X267649
307,959701,361,232075,"","",X232075
308,808923,204,208723,"","",X208723
309,319789,247,268083,"","",X268083
310,605304,259,267658,"","",X267658
311,624749,287,236709,"","",X236709
312,291777,245,223535,"","",X223535
313,760778,142,637204,"","",X637204
314,432063,275,319370,"","",X319370
315,935498,204,304945,"","",X304945
316,1018818,252,268167,"","",X268167
317,986168,204,202832,"","",X202832
318,575164,337,631962,"","",X631962
319,291302,130,381876,"","",X381876
320,227707,173,309642,"","",X309642
321,1000928,174,267765,"","",X267765
322,782824,259,267696,"","",X267696
323,750238,319,225863,"","",X225863
324,1013237,204,244467,"","",X244467
325,504442,115,618071,"","",X618071
326,647359,263,300451,"","",X300451
327,681728,398,267704,"","",X267704
328,744573,319,368056,"","",X368056
329,955260,193,636909,"","",X636909
330,386964,117,485553,"","",X485553
331,555240,205,485464,"","",X485464
332,362878,341,438101,"","",X438101
333,492749,247,241189,"","",X241189
334,626741,290,231792,"","",X231792
335,359182,117,650930,"","",X650930
336,739580,215,644975,"","",X644975
337,465311,271,636886,"","",X636886
338,816014,217,485388,"","",X485388
339,439102,254,483175,"","",X483175
340,990713,237,367993,"","",X367993
341,962625,375,349029,"","",X349029
342,570959,117,328803,"","",X328803
343,707003,171,281409,"","",X281409
344,894031,174,267691,"","",X267691
345,545949,315,232659,"","",X232659
346,870858,105,208647,"","",X208647
347,1052343,229,632100,"","",X632100
348,549114,245,484345,"","",X484345
349,473277,217,479886,"","",X479886
350,895137,247,356938,"","",X356938
351,298036,132,201042,"","",X201042
352,392698,292,484689,"","",X484689
353,898073,273,480180,"","",X480180
